protein_name	COG	COG_ID	COG_System	COG_Process	locusId
Iron sulfur cluster assembly protein (SufU)	COG0822	C	Metabolism	Energy production and conversion	H16_RS26285
Transcriptional regulator, TetR/AcrR-family	COG1309	K	Information storage and processing	Transcription	H16_RS09820
Beta-lactamase class C (EC 3.5.2.6)	COG1680	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS10640
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS00095
Predicted glycosyltransferase (EC 2.4.1.-)	COG1216	S	Poorly characterized	Function unknown	H16_RS09260
Acetyltransferase (GNAT) family (EC 2.3.1.-)	COG0454	K	Information storage and processing	Transcription	H16_RS01170
ABC-type transporter, ATPase and permease components (EC 3.6.3.-)	COG5265	P	Metabolism	Inorganic ion transport and metabolism	H16_RS16075
ABC-type transporter, ATPase and permease components (EC 3.6.3.-)	COG5265	P	Metabolism	Inorganic ion transport and metabolism	H16_RS33725
ABC-type transporter, ATPase and permease components (EC 3.6.3.-)	COG5265	P	Metabolism	Inorganic ion transport and metabolism	H16_RS33730
ABC-type transporter, ATPase and permease components (EC 3.6.3.-)	COG5265	P	Metabolism	Inorganic ion transport and metabolism	H16_RS16085
Predicted phosphatase (EC 3.1.3.-)	COG3211	S	Poorly characterized	Function unknown	H16_RS30660
Putative long-chain-fatty-acid-CoA ligase	COG0318	IQ	Metabolism	Lipid transport and metabolism	PHG398
Predicted transcription regulator, contains HTH domain (MarR family)	COG5631	K	Information storage and processing	Transcription	H16_RS07500
Uncharacterized protein	COG3540	P	Metabolism	Inorganic ion transport and metabolism	H16_A1932
Multisubunit Na+/H+ antiporter, MnhF subunit	COG2212	P	Metabolism	Inorganic ion transport and metabolism	H16_RS09355
ImpE family protein	COG4455	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS03210
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_A2071
Glutathione S-transferase (EC 2.5.1.18)	COG0625	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS15595
cNMP regulatory protein	COG0664	K	Information storage and processing	Transcription	H16_RS24490
Predicted redox protein regulator of disulfide-bond formation	COG1764	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_B1803
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS09700
Omega-amino acid-pyruvate aminotransferase (EC 2.6.1.18)	COG0161	E	Metabolism	Amino acid transport and metabolism	H16_RS01330
Putative [NiFe] hydrogenase large subunit	COG0374	A	Metabolism	Autotrophic energy generation	PHG065
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS10355
Uncharacterized protein	COG4243	S	Poorly characterized	Function unknown	PHG236
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS05290
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG260
Acetyl-CoA synthetase (EC 6.2.1.1)	COG0365	I	Metabolism	Lipid transport and metabolism	H16_RS24270
Alkanesulfonate monooxygenase (EC 1.14.14.5)	COG2141	C	Metabolism	Energy production and conversion	H16_RS28055
Predicted esterase of the alpha-beta hydrolase superfamily (EC 3.1.-.-)	COG1752	S	Poorly characterized	Function unknown	H16_RS09055
TRAP-type transporter, periplasmic component	COG4663	P	Metabolism	Inorganic ion transport and metabolism	H16_RS18410
Uncharacterized protein	COG4575	S	Poorly characterized	Function unknown	H16_RS09950
Molybdopterin biosynthesis protein E	COG0314	H	Metabolism	Coenzyme transport and metabolism	H16_RS11305
Hypothetical membrane spanning protein/Predictedpermease	COG0628	P	Metabolism	Inorganic ion transport and metabolism	H16_RS03390
Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS00865
Uncharacterized protein	COG0695	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS12745
Plasmid maintenance system antidote protein	COG3093	K	Information storage and processing	Transcription	H16_RS26580
Aspartate/tyrosine/aromatic aminotransferase (EC 2.6.1.-)	COG0436	E	Metabolism	Amino acid transport and metabolism	H16_RS24685
ABC-type transporter, periplasmic component	COG0715	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24300
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS06750
3-Oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS24135
GGDEF domain protein	COG2199	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS12130
Uncharacterized protein	COG2329	S	Poorly characterized	Function unknown	H16_RS28530
Uncharacterized protein	COG4859	S	Poorly characterized	Function unknown	H16_RS17745
Acetyltransferase (EC 2.3.1.-)	COG0110	S	Poorly characterized	Cell wall/membrane/envelope biogenesis	H16_RS18890
Protein HflC	COG0330	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS11775
Trans-aconitate 6-methyltransferase	COG4106	S	Poorly characterized	Energy production and conversion	H16_RS00505
Uncharacterized protein	COG3185	E	Metabolism	Amino acid transport and metabolism	H16_RS10710
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS09475
Transcriptional regulator, MocR family (EC 2.6.1.-)	COG1167	K	Information storage and processing	Transcription	H16_RS13215
MFS transporter, AAHS family	COG2271	P	Metabolism	Inorganic ion transport and metabolism	H16_RS27525
Uncharacterized protein	COG1062	C	Metabolism	Energy production and conversion	H16_RS26895
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS25905
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS27500
Transcriptional regulator, AraC-family	COG2207	K	Information storage and processing	Transcription	H16_RS08355
Flagellar biosynthesis protein	COG2257	N	Cellular processes and signaling	Cell motility	H16_RS30515
Uncharacterized protein	COG0457	S	Poorly characterized	Function unknown	H16_RS29590
N-Acetylglutamate synthase or related acetyltransferase (EC 2.3.1.-)	COG1246	E	Metabolism	Amino acid transport and metabolism	H16_A2759
Predicted acyl-CoA transferase/carnitine dehydratase (EC 5.1.99.-)	COG1804	C	Metabolism	Energy production and conversion	H16_RS27425
Uncharacterized protein	COG3064	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS06315
Exopolyphosphatase (EC 3.6.1.11)	COG0248	FP	Metabolism	Nucleotide transport and metabolism	H16_RS12170
Putative iron uptake protein	NA	S	Poorly characterized	Function unknown	H16_RS19315
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS09685
Transcriptional regulator, AsnC-family	COG1522	K	Information storage and processing	Transcription	H16_RS18360
Predicted hydrolase or acyltransferase (Alpha/beta hydrolase superfamily)	COG0596	S	Poorly characterized	Function unknown	H16_RS33620
ABC-type phosphonate transport system, ATPase component (EC 3.6.3.-)	COG4778	P	Metabolism	Inorganic ion transport and metabolism	H16_RS25160
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS20680
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS09405
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS08310
Putative transposase	COG3039	L	Information storage and processing	Replication, recombination and repair	PHG061
Translation initiation factor IF-3	COG0290	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS06655
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS30380
Transcriptional regulator, AraC-family	COG2207	K	Information storage and processing	Transcription	H16_RS27390
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS09680
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS09575
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS00175
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS12635
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS08085
Aldo/keto oxidoreductase	COG0656	S	Poorly characterized	Function unknown	H16_RS24765
Aldo/keto oxidoreductase	COG0656	S	Poorly characterized	Function unknown	H16_RS34525
Aldo/keto oxidoreductase	COG0656	S	Poorly characterized	Function unknown	H16_RS34530
Aldo/keto oxidoreductase	COG0656	S	Poorly characterized	Function unknown	H16_RS34535
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG0411	P	Metabolism	Inorganic ion transport and metabolism	H16_RS15090
MFS transporter, OFA family	COG2223	P	Metabolism	Inorganic ion transport and metabolism	H16_RS26130
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS22160
ABC-type transporter, auxiliary component	COG3218	P	Metabolism	Inorganic ion transport and metabolism	H16_RS00625
Methylase of polypeptide chain release factors	COG2890	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS14965
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS31245
Cell shape-determining protein MreC (Cell shape protein MreC)	COG1792	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS00540
Uncharacterized protein	COG2309	E	Metabolism	Amino acid transport and metabolism	H16_RS04595
Iron sulfur cluster assembly protein (IscA)	COG0316	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS05760
Phospholipase C (EC 3.1.4.3)	COG3511	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS24585
Beta-lactamase class C or other penicillin-binding protein (EC 3.5.2.6)	COG1680	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS23090
Alcohol dehydrogenase (EC 1.1.1.1)	COG0604	C	Metabolism	Energy production and conversion	H16_RS16600
D-Aminopeptidase (EC 3.4.11.-)	COG2362	E	Metabolism	Amino acid transport and metabolism	H16_RS10460
MFS transporter, ACS family	COG2271	P	Metabolism	Inorganic ion transport and metabolism	H16_RS00320
Uncharacterized protein	COG3189	S	Poorly characterized	Function unknown	H16_RS17535
ABC-type transporter, periplasmic component: HAAT family	COG0683	E	Metabolism	Amino acid transport and metabolism	H16_RS28920
Flp pilus assembly ATPase CpaF (EC 3.6.1.-)	COG4962	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS03520
2-Chloromaleylacetate/maleylacetate reductase (EC 1.3.1.32)	COG1454	C	Metabolism	Energy production and conversion	H16_RS23600
3-Oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS20555
MFS transporter, AAHS family	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS08105
2-Polyprenyl-6-methoxyphenol hydroxylase or related FAD-dependent oxidoreductase (EC 1.14.13.-)	COG0654	CH	Metabolism	Energy production and conversion	H16_RS04580
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS25605
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS15420
Predicted xylanase/chitin deacetylase	COG0726	G	Metabolism	Carbohydrate transport and metabolism	H16_RS05000
Cold-shock protein, DNA-binding	COG1278	K	Information storage and processing	Transcription	H16_RS18735
Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)	COG1198	L	Information storage and processing	Replication, recombination and repair	H16_RS18135
[NiFe] hydrogenase (HoxH-specific) C-terminal protease	COG0680	A	Metabolism	Autotrophic energy generation	PHG092
ABC-type transporter, permease component: HAAT family	COG0559	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07555
Putative phytanoyl-CoA dioxygenase	COG5285	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS02400
Uncharacterized protein	COG1032	C	Metabolism	Energy production and conversion	H16_RS29555
Phenylalanine 4-monooxygenase (EC 1.14.16.1)	COG3186	E	Metabolism	Amino acid transport and metabolism	H16_RS18365
Putative SOS response-associated peptidase (EC 3.4.-.-)	COG2135	S	Poorly characterized	Function unknown	H16_RS24265
ABC-type transporter, permease component	COG4177	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22750
Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	COG4553	I	Metabolism	Lipid transport and metabolism	H16_RS20440
Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19)	COG0157	H	Metabolism	Coenzyme transport and metabolism	H16_RS21525
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_A2476
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG315
Ribulose-5-phosphate 4-epimerase or related epimerase/aldolase	COG0235	G	Metabolism	Carbohydrate transport and metabolism	H16_RS22935
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	COG0760	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS30035
DNA-binding protein Fis (Factor for inversion stimulation)	COG2901	KL	Information storage and processing	Transcription	H16_RS02480
Outer membrane protein (Porin)	COG3203	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16370
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS23420
Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	COG2606	S	Poorly characterized	Function unknown	H16_RS02910
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS27835
Uncharacterized protein	COG2331	S	Poorly characterized	Function unknown	H16_RS19080
Signal transduction histidine kinase (EC 2.7.3.-)	COG0642	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS00985
Uncharacterized protein	COG1309	K	Information storage and processing	Transcription	H16_RS30850
ABC-type transporter, periplasmic component	COG0683	E	Metabolism	Amino acid transport and metabolism	H16_RS22770
ABC-type transporter, permease component: PepT family	COG1173	P	Metabolism	Inorganic ion transport and metabolism	H16_RS14710
ABC-type transporter, periplasmic component: PepT family	COG0747	P	Metabolism	Inorganic ion transport and metabolism	H16_RS13150
Aldehyde dehydrogenase, NAD(P)-dependent (EC 1.2.1.-)	COG1012	C	Metabolism	Energy production and conversion	H16_RS28125
ABC-type transporter, ATPase component: LPT family (EC 3.6.3.-)	COG4181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07455
Alcohol dehydrogenase, class IV (EC 1.1.1.-)	COG1454	C	Metabolism	Energy production and conversion	H16_A0861
Uncharacterized conserved protein	COG1610	S	Poorly characterized	Function unknown	H16_RS13595
2-Aminobenzoyl-CoA monooxygenase/reductase (EC 1.14.13.40)	COG0654	CH	Metabolism	Energy production and conversion	H16_RS12295
Uncharacterized protein	COG1524	S	Poorly characterized	Function unknown	H16_RS24595
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_B0009
Uncharacterized protein	COG3637	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_A1597
Response regulator, NarL-family	COG2197	K	Information storage and processing	Transcription	H16_RS21835
L-Asparaginase (EC 3.5.1.1)	COG1446	E	Metabolism	Amino acid transport and metabolism	H16_RS10490
Iron sulfur cluster assembly protein (SufC),ABC-type transporter ATPase component: Fe-S family (EC 3.6.3.-)	COG0396	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS26270
Uncharacterized protein	COG3631	S	Poorly characterized	Function unknown	H16_RS19850
D-Galactarate dehydratase (EC 4.2.1.42)	COG2721	G	Metabolism	Carbohydrate transport and metabolism	H16_RS06250
Uncharacterized protein	COG3519	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS30820
Response regulator, NarL family	COG2197	K	Information storage and processing	Transcription	H16_RS29110
Putative transcriptional repressor	COG1846	K	Information storage and processing	Transcription	H16_RS26590
Uncharacterized protein	COG5642	S	Poorly characterized	Function unknown	H16_RS25055
General secretion pathway protein L	COG3297	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS17660
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS00365
Transcriptional regulator	COG1737	K	Information storage and processing	Transcription	H16_RS24095
Transcriptional regulator	COG1737	K	Information storage and processing	Transcription	H16_RS24100
Putative kinase	COG0515	KLT	Information storage and processing	Transcription	PHG107
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG0410	E	Metabolism	Amino acid transport and metabolism	H16_RS22760
Uncharacterized protein	COG1236	J	Information storage and processing	Translation, ribosomal structure and biogenesis	PHG226
Threonine synthase (EC 4.2.3.1)	COG0498	E	Metabolism	Amino acid transport and metabolism	H16_RS11320
Diguanylate cyclase/phosphodiesterase domain 1 (GGDEF)	COG2199	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS26315
Bile acid-inducible operon protein F, predicted acyl-CoA transferase/carnitine dehydratase	COG1804	C	Metabolism	Energy production and conversion	H16_RS00465
Predicted transcriptional regulator	COG1321	K	Information storage and processing	Transcription	H16_RS26040
Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.16)	COG1012	C	Metabolism	Energy production and conversion	H16_RS23660
Uncharacterized protein, possibly involved in aromatic compounds catabolism	COG2050	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS00800
Kef-type K+ transport system, membrane and NAD-binding component	COG0475	P	Metabolism	Inorganic ion transport and metabolism	H16_RS17595
ABC-type transporter, duplicated ATPase domains:Drug RA1 family (EC 3.6.3.-)	COG0488	P	Metabolism	Inorganic ion transport and metabolism	H16_RS09580
Outer membrane efflux protein	COG1538	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS25105
Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family	COG1853	S	Poorly characterized	Function unknown	H16_RS14015
ABC-type transporter, duplicated ATPase domains:PepT family (EC 3.6.3.-)	COG1123	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12025
Heme d1 biosynthesis protein (NirG)	COG1522	X	Metabolism	Oxidative phosphorylation	H16_B2281
Alcohol dehydrogenase, Zn-dependent (EC 1.1.1.1)	COG1064	S	Poorly characterized	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS25870
Phenylacetic acid degradation protein K,phenylacetaldehyde dehydrogenase (EC 1.2.1.39)	COG1012	C	Metabolism	Energy production and conversion	H16_RS25495
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS06845
Putative transcriptional regulator	COG2808	K	Information storage and processing	Transcription	H16_RS28635
Putative peptidase, S33 family (EC 3.-.-.-)	COG0596	S	Poorly characterized	Function unknown	H16_RS07635
Cell division coordinator CpoB	COG1729	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS14085
D-Aminopeptidase (EC 3.4.11.19)	COG3191	EQ	Metabolism	Amino acid transport and metabolism	H16_RS10465
Uncharacterized protein	COG3868	G	Metabolism	Carbohydrate transport and metabolism	H16_RS29715
Coenzyme PQQ synthesis protein C	COG5424	H	Metabolism	Coenzyme transport and metabolism	H16_RS28130
Acetyltransferase (EC 2.3.1.-)	COG1670	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS17605
Dehydrogenase	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS27750
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS12640
Predicted RNA-binding protein containing KH domain	COG1534	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS12235
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS00570
Putative integrase/recombinase	COG4974	L	Information storage and processing	Replication, recombination and repair	PHG286
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS04390
Dehydrogenase with different specificities (EC 1.-.-.-)	COG1028	C	Metabolism	Energy production and conversion	H16_RS24955
Beta-lactamase (EC 3.5.2.6)	COG1680	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS05930
ABC-type transporter, permease component: PepT family	COG0601	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24395
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS26430
FAD/FMN-containing dehydrogenase	COG0277	C	Metabolism	Energy production and conversion	H16_RS27860
ABC-type transporter, periplasmic component	COG0683	E	Metabolism	Amino acid transport and metabolism	H16_RS18250
Putative hemeA synthase	COG1612	X	Metabolism	Oxidative phosphorylation	H16_RS01725
Putative translation factor (SUA5)	COG0009	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS05960
Dienelactone hydrolase or related enzyme (EC 3.1.1.-)	COG0412	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS11075
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS13405
Predicted hydrolase or acyltransferase (EC 3.-.-.-)	COG0596	S	Poorly characterized	Function unknown	H16_RS11295
Uncharacterized protein	COG3243	I	Metabolism	Lipid transport and metabolism	H16_RS03320
2-Keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase	COG0179	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS00330
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS24580
Phosphate transport system permease protein	COG0573	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12205
Uncharacterized protein	COG4566	T	Cellular processes and signaling	Signal transduction mechanisms	PHG199
5-Methylcytosine-specific restriction enzyme C	COG4268	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS00045
ABC-type transporter, permease component: SulT family	COG0555	P	Metabolism	Inorganic ion transport and metabolism	H16_RS11190
Uncharacterized protein	COG3945	S	Poorly characterized	Function unknown	PHG197
Predicted permease	COG0569	P	Metabolism	Inorganic ion transport and metabolism	H16_RS08370
N-Acyl-D-amino-acid deacylase (EC 3.5.1.81)	COG3653	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS24375
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS00975
Uncharacterized protein	COG5361	S	Poorly characterized	Function unknown	H16_RS26625
Putative [NiFe] hydrogenase small subunit	COG1740	A	Metabolism	Autotrophic energy generation	PHG064
Acyl-CoA synthetase (EC 6.2.1.-)	COG0318	IQ	Metabolism	Lipid transport and metabolism	H16_RS24495
Nucleobase:cation symporter 2 (NCS2) family transporter	COG2233	F	Metabolism	Nucleotide transport and metabolism	H16_RS16790
Transcriptional regulator, AraC-family	COG4977	K	Information storage and processing	Transcription	H16_RS01345
ABC-type transporter, permease component: PepT family	COG1173	P	Metabolism	Inorganic ion transport and metabolism	H16_RS10470
ABC-type sulfonate transporter, ATPase component (EC 3.6.3.28)	COG1116	P	Metabolism	Inorganic ion transport and metabolism	H16_RS28070
Response regulator, OmpR-family	COG0745	K	Information storage and processing	Transcription	H16_RS02895
Uncharacterized protein	COG2030	I	Metabolism	Lipid transport and metabolism	PHG397
Uncharacterized protein	COG3518	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS30825
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS27690
Peptidase E (EC 3.4.13.21)	COG3340	E	Metabolism	Amino acid transport and metabolism	H16_RS19405
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG333
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_A3683
Phosphate transport system permease protein PstA	COG0581	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12200
Cation/multidrug efflux pump	COG0841	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS02885
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS28655
Putative component of type II secretion apparatus	COG1450	NU	Cellular processes and signaling	Cell motility	PHG351
Probable alcohol dehydrogenase	COG1064	S	Poorly characterized	Function unknown	PHG230
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG104
Uncharacterized protein	COG0501	E	Metabolism	Amino acid transport and metabolism	H16_RS08315
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS21690
Uncharacterized protein	COG3159	S	Poorly characterized	Function unknown	H16_RS00560
AroM protein	COG4126	E	Metabolism	Amino acid transport and metabolism	H16_RS11505
Putative regulatory protein	COG0582	L	Information storage and processing	Replication, recombination and repair	PHG329
Uncharacterized protein	COG1315	L	Information storage and processing	Replication, recombination and repair	H16_RS04940
Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS22025
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS30050
VacJ-like lipoprotein	COG2853	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS29580
Rhodanese-related sulfurtransferase (EC 2.8.1.-)	COG0607	P	Metabolism	Inorganic ion transport and metabolism	H16_RS11675
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS29360
D-amino-acid dehydrogenase (EC 1.4.99.1)	COG0665	E	Metabolism	Amino acid transport and metabolism	H16_RS29640
ABC-type transporter, periplasmic component: POPT family	COG0687	E	Metabolism	Amino acid transport and metabolism	H16_RS27865
Cysteine/acetylserine efflux protein	COG0697	P	Metabolism	Inorganic ion transport and metabolism	H16_RS17830
Ankyrin repeat protein containing three repeats	COG0666	S	Poorly characterized	Function unknown	H16_RS07820
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS00655
Predicted acyltransferase (EC 2.3.1.-)	COG1835	I	Metabolism	Lipid transport and metabolism	H16_RS18815
NnrS protein	COG3213	P	Metabolism	Inorganic ion transport and metabolism	H16_RS30000
Protein translocase subunit SecY	COG0201	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS17280
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS08895
Arsenite efflux pump ACR3	COG0798	P	Metabolism	Inorganic ion transport and metabolism	H16_RS10890
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS31440
Transcriptional regulator, AraC-family	COG2207	K	Information storage and processing	Transcription	H16_RS31300
Ring-hydroxylating dioxygenase (EC 1.14.-.-)	COG4638	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22380
Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase or related flavin-depende (EC 1.-.-.-)	COG2141	C	Metabolism	Energy production and conversion	H16_RS21915
Metal-dependent amidase/aminoacylase/carboxypeptidase (EC 3.5.1.-)	COG1473	S	Poorly characterized	Energy production and conversion	H16_RS21750
ABC-type transporter, ATPase component: MolT family (EC 3.6.3.-)	COG1118	P	Metabolism	Inorganic ion transport and metabolism	H16_RS03340
Transcriptional regulator, MocR family (EC 2.6.1.-)	COG1167	K	Information storage and processing	Transcription	H16_RS09760
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22205
30S ribosomal protein S1	COG0539	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS03955
Probable taurine catabolism dioxygenase (EC 1.14.11.-)	COG2175	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS06270
Putative extracytoplasmic hydrolase	COG0596	S	Poorly characterized	Function unknown	H16_RS27370
Putative extracytoplasmic hydrolase	COG0596	S	Poorly characterized	Function unknown	H16_RS34595
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS18650
p-Hydroxybenzoate hydroxylase, FAD dependent monooxygenase (EC 1.14.13.2)	COG0654	CH	Metabolism	Energy production and conversion	H16_RS30120
Uncharacterized protein	COG3246	S	Poorly characterized	Function unknown	H16_RS27710
Transcriptonal regulator, GntR-family	COG1802	K	Information storage and processing	Transcription	H16_RS27530
Flagellar hook-length control protein	COG3144	N	Cellular processes and signaling	Cell motility	H16_RS30550
